audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
16,8,256,0.2,0.3,0.5,0.001,0.0003,16,32,0.0,2.8528514,0.9523367,0.64521,0.33382,0.7623906705539358,0.7621077017925707
16,8,256,0.2,0.0,0.1,0.001,0.0003,4,32,0.0,2.9648364,0.9897194,0.62593,0.31487,0.7478134110787172,0.746062857740415
16,8,256,0.2,0.0,0.1,0.001,0.0003,4,32,0.0,2.845427,0.9498583,0.65219,0.33528,0.7594752186588921,0.7568747148146786
16,8,256,0.2,0.0,0.1,0.001,0.0003,4,32,0.0,2.9702733,0.99153435,0.63281,0.30612,0.749271137026239,0.749346512466046
16,8,256,0.2,0.0,0.1,0.001,0.0003,4,32,0.0,2.9179883,0.9740805,0.63417,0.32216,0.7551020408163265,0.7527068043428631
4,8,128,0.3,0.5,0.2,0.001,0.0005,1,4,0.001,2.8681755,0.9574521,0.658,0.32216,0.7740524781341108,0.7742148709319556
4,8,128,0.3,0.5,0.2,0.001,0.0005,1,4,0.001,2.7258074,0.9099269,0.69092,0.35131,0.7725947521865889,0.7721927613287508
4,8,128,0.3,0.5,0.2,0.001,0.0005,1,4,0.001,2.7312913,0.9117576,0.67918,0.36589,0.7638483965014577,0.7643392008091051
4,8,128,0.3,0.5,0.2,0.001,0.0005,1,4,0.001,2.834456,0.94619584,0.65436,0.33965,0.7711370262390671,0.7709474017447562
4,16,128,0.5,0.5,0.15,0.003,0.0003,4,64,0.0,2.958861,0.98772484,0.62122,0.3105,0.7463556851311953,0.7425603915035404
4,16,128,0.5,0.5,0.15,0.003,0.0003,4,64,0.0,2.9531503,0.9858184,0.62977,0.33528,0.7478134110787172,0.747851871084116
4,16,128,0.5,0.5,0.15,0.003,0.0003,4,64,0.0,3.0144844,1.0062929,0.61867,0.31195,0.7551020408163265,0.7551020408163265
4,16,128,0.5,0.5,0.15,0.003,0.0003,4,64,0.0,2.9471447,0.9838136,0.62969,0.30321,0.7580174927113703,0.75777369316817
8,4,256,0.0,0.1,0.1,0.0003,0.0005,1,32,0.0,2.822682,0.94226557,0.65966,0.35131,0.7740524781341108,0.7743270277098919
8,4,256,0.0,0.1,0.1,0.0003,0.0005,1,32,0.0,2.9321043,0.97879297,0.63333,0.33819,0.7419825072886297,0.7421679493868139
8,4,256,0.0,0.1,0.1,0.0003,0.0005,1,32,0.0,2.8167503,0.94028544,0.67546,0.32653,0.7594752186588921,0.7592759317699669
8,4,256,0.0,0.1,0.1,0.0003,0.0005,1,32,0.0,2.8681448,0.9574419,0.64621,0.33965,0.7638483965014577,0.7641075811123714
16,8,256,0.0,0.15,0.1,0.001,0.0005,1,4,0.01,2.7436104,0.9158699,0.67772,0.3207,0.7798833819241983,0.7786065197184092
16,8,256,0.0,0.15,0.1,0.001,0.0005,1,4,0.01,2.9348187,0.9796989,0.61326,0.35277,0.7580174927113703,0.75357601455974
16,8,256,0.0,0.15,0.1,0.001,0.0005,1,4,0.01,2.8754737,0.9598884,0.64109,0.34111,0.7565597667638484,0.75409626286263
16,8,256,0.0,0.15,0.1,0.001,0.0005,1,4,0.01,2.9438803,0.98272383,0.61429,0.31778,0.7725947521865889,0.7682166604436826
8,8,256,0.5,0.1,0.15,0.0003,0.003,4,8,0.01,2.8619566,0.9553762,0.6497,0.34257,0.7653061224489796,0.760462725226371
8,8,256,0.5,0.1,0.15,0.0003,0.003,4,8,0.01,2.9684346,0.99092054,0.61921,0.33382,0.7565597667638484,0.7545741637359088
