audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,8,64,0.3,0.3,0.1,0.001,0.003,8,16,0,0.95063365,0.9506336,0.67252,0.31341,0.7755102040816326,0.7753633840266454
8,4,64,0.1,0.3,0.3,0.003,0.001,1,8,0.001,0.9769138,0.97691375,0.65422,0.32945,0.7667638483965015,0.7666113080796315
4,4,128,0.3,0.15,0.1,0.0005,0.0003,8,16,0.001,1.0257436,1.0257435,0.61666,0.31341,0.7419825072886297,0.7417687268077825
16,8,64,0,0.5,0,0.001,0.001,16,4,0.001,0.96274495,0.9627448,0.65786,0.3309,0.7696793002915452,0.7685291444717691
16,16,256,0.5,0.5,0.15,0.0005,0.001,1,128,0.002,1.0270792,1.0270792,0.63172,0.27988,0.7740524781341108,0.773097226752017
16,8,64,0,0.1,0.5,0.001,0.001,4,8,0.002,0.9919572,0.9919571,0.64135,0.32362,0.7551020408163265,0.7541269682290614
8,16,64,0.3,0,0.15,0.0005,0.0005,8,16,0.001,1.025728,1.025728,0.62488,0.30175,0.7434402332361516,0.741734265104812
8,4,64,0.2,0.2,0.5,0.003,0.0003,1,128,0,1.1040068,1.1040068,0.54898,0.27551,0.7448979591836735,0.744063746425787
4,16,128,0.2,0.15,0.3,0.003,0.0005,16,128,0.01,1.0461692,1.046169,0.60199,0.28717,0.7478134110787172,0.7473168769403816
16,4,128,0.15,0.2,0.3,0.001,0.0003,4,8,0.01,1.036091,1.036091,0.61126,0.2828,0.7682215743440233,0.7676688527443766
4,16,256,0,0.5,0.5,0.003,0.003,8,128,0.001,0.9626281,0.96262807,0.6672,0.31778,0.7755102040816326,0.7741455126197628
8,16,256,0,0.3,0.3,0.0005,0.0003,4,64,0.001,1.048981,1.0489808,0.59734,0.29009,0.750728862973761,0.7511848984723464
16,8,128,0.2,0.5,0.3,0.001,0.003,4,4,0.01,1.0912205,1.0912205,0.55179,0.26385,0.7405247813411079,0.7403550802385901
8,4,64,0.1,0.5,0.15,0.0003,0.0003,1,16,0,1.1018573,1.1018573,0.53584,0.25802,0.7332361516034985,0.7328170650141658
8,8,64,0,0.1,0,0.003,0.003,1,64,0.01,0.9921172,0.9921172,0.64063,0.30758,0.7653061224489796,0.7622542861932087
16,16,64,0,0.3,0.1,0.001,0.0003,16,64,0.01,1.0570464,1.0570463,0.58604,0.27988,0.7536443148688047,0.753257289548601
16,4,64,0.1,0,0.15,0.0003,0.0005,16,32,0.002,1.0626669,1.0626669,0.56534,0.30175,0.7259475218658892,0.7251138517311316
4,16,256,0.5,0.5,0.15,0.0005,0.003,4,64,0,0.9184602,0.9184601,0.6966,0.33673,0.7857142857142857,0.7854590930276558
8,16,64,0,0,0.5,0.001,0.003,1,64,0.002,0.9908631,0.990863,0.63806,0.32362,0.7798833819241983,0.7784830157726458
4,4,256,0.3,0.3,0.2,0.003,0.0003,8,128,0.01,1.0505949,1.0505949,0.59236,0.28426,0.7580174927113703,0.7572813797200417
16,8,64,0.5,0.3,0,0.001,0.001,8,16,0.01,0.9923338,0.99233377,0.63891,0.30758,0.7813411078717201,0.7814068422669007
8,16,256,0.5,0.15,0.5,0.0005,0.0003,4,32,0.002,1.0115781,1.011578,0.62724,0.293,0.750728862973761,0.7505223292888744
8,8,256,0,0.5,0,0.003,0.003,8,64,0.002,0.91679144,0.91679144,0.6926,0.34985,0.7886297376093294,0.7885274552970178
4,8,128,0,0.3,0.15,0.003,0.001,16,128,0,1.0192921,1.0192922,0.61575,0.28426,0.7580174927113703,0.7561189709500759
4,4,64,0.2,0.1,0.2,0.0003,0.0005,4,128,0.01,1.0930092,1.0930092,0.54393,0.29009,0.7201166180758017,0.7205481336240835
8,16,256,0,0.3,0,0.0005,0.001,4,16,0.001,0.94894046,0.94894046,0.66885,0.31195,0.7769679300291545,0.7767023213144989
8,4,64,0.3,0.2,0.2,0.0003,0.001,16,4,0.002,1.002051,1.002051,0.62623,0.30175,0.7784256559766763,0.7773191769601828
4,16,128,0,0.3,0.15,0.003,0.0005,8,4,0.001,0.961587,0.961587,0.66858,0.30466,0.7784256559766763,0.7782024178407337
8,4,64,0.5,0.3,0.5,0.0003,0.0003,8,32,0.002,1.1202122,1.1202121,0.52729,0.28134,0.6982507288629738,0.6986844076012505
4,16,64,0.15,0.3,0.15,0.0005,0.001,4,128,0.002,1.0687704,1.0687704,0.57431,0.293,0.7186588921282799,0.7179879784884573
8,8,128,0.2,0.1,0,0.0005,0.0003,4,16,0.002,1.012077,1.012077,0.61968,0.29155,0.7478134110787172,0.746988732180921
4,4,64,0.2,0.1,0,0.003,0.0003,16,16,0.01,1.0101748,1.0101746,0.62423,0.30029,0.7725947521865889,0.7709487374301336
16,16,64,0.3,0,0.3,0.0003,0.0005,4,16,0,1.0054058,1.0054058,0.63006,0.293,0.7755102040816326,0.7740174819667106
8,16,256,0.5,0.15,0.3,0.001,0.001,4,4,0.01,1.0329579,1.0329579,0.59368,0.27697,0.7755102040816326,0.7737489248572992
16,4,128,0.2,0.5,0.15,0.003,0.003,8,32,0,0.9395099,0.93950987,0.68268,0.31487,0.7798833819241983,0.7784830157726458
4,4,64,0.1,0.15,0.2,0.0003,0.003,4,4,0,0.9396044,0.9396046,0.67637,0.3105,0.7784256559766763,0.777200967850697
16,8,64,0.1,0.3,0.1,0.0003,0.003,16,8,0.01,1.048867,1.0488669,0.57789,0.27843,0.7303206997084548,0.7252504753815647
16,16,256,0.5,0.1,0,0.0005,0.0003,16,8,0.001,0.96872014,0.9687201,0.65507,0.30321,0.7740524781341108,0.769389580186879
16,4,256,0,0,0.15,0.0005,0.003,1,8,0.002,0.9451613,0.9451612,0.67147,0.3309,0.782798833819242,0.7823711830295772
4,8,64,0.1,0.2,0,0.003,0.0005,16,64,0,1.0591477,1.0591477,0.60921,0.293,0.7594752186588921,0.7568747148146786
8,16,128,0.3,0.2,0.2,0.001,0.003,8,64,0,0.9538922,0.9538921,0.65918,0.32507,0.7740524781341108,0.7723489151084515
16,4,128,0.2,0.2,0,0.0005,0.0003,8,8,0,0.9901088,0.9901087,0.64448,0.30758,0.7521865889212828,0.751844921644765
8,16,128,0.2,0.3,0.5,0.0005,0.001,1,32,0.001,1.0071303,1.0071304,0.61447,0.28863,0.7551020408163265,0.75456949315516
4,16,256,0.2,0.2,0.5,0.0003,0.001,16,4,0.001,0.94228286,0.9422828,0.67288,0.32945,0.7755102040816326,0.7745048227191085
8,16,64,0.1,0.5,0.2,0.0005,0.0005,1,4,0.01,1.0496514,1.0496514,0.59146,0.2828,0.760932944606414,0.7584315174621297
8,16,64,0.1,0.5,0.2,0.0005,0.003,4,128,0.002,1.0181161,1.0181161,0.62243,0.29883,0.7696793002915452,0.7691784518959243
16,4,256,0.5,0.15,0.5,0.0003,0.003,16,32,0.002,0.94197303,0.94197303,0.66345,0.32362,0.7725947521865889,0.7714591553012404
8,16,128,0.15,0.3,0.15,0.0005,0.0005,4,16,0.002,0.97894764,0.9789475,0.64322,0.30904,0.760932944606414,0.7593432924840294
16,16,128,0.2,0.2,0.5,0.001,0.001,4,8,0.01,1.0666441,1.066644,0.57546,0.27551,0.750728862973761,0.7468976521440894
4,8,64,0.5,0.5,0.3,0.0005,0.0003,4,16,0.001,1.0629233,1.0629232,0.57262,0.3105,0.7274052478134111,0.7253499814534221
4,8,256,0.1,0.15,0,0.0005,0.001,1,16,0.002,0.96354043,0.9635404,0.65436,0.32362,0.7857142857142857,0.7842268213169998
8,8,128,0.2,0.2,0,0.003,0.0003,4,16,0.01,1.0243422,1.0243422,0.61352,0.29155,0.760932944606414,0.7599810880331315
4,4,64,0.3,0.3,0.3,0.0005,0.0003,16,32,0.01,1.0998065,1.0998064,0.54041,0.29009,0.7244897959183674,0.7230411162181634
4,4,128,0.15,0.2,0,0.0005,0.0005,16,8,0.002,0.99108875,0.9910887,0.63687,0.29883,0.7755102040816326,0.7740174819667106
